,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,property_type,room_type,bedrooms,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,price_avg,price_std,beds,accommodates,reviews_per_month,availability_60,availability_90,availability_365,revenue,booking_rate,bathrooms_text,price_per_person,accom_per_bed,price_surge_percent,price_std_percent
23,"Antwerpen, Belgium",within a day,87.0,81.0,f,host neighbourhood not available,9,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,2,1125,t,1,37,6,0,4.53,4.66,4.63,4.89,4.77,4.77,4.4,f,84.44931506849315,84.44931506849315,5.589017962247678,2.0,2.0,0.33,9,9,282,66.24931506849315,77.26027397260275,1 bath,42.224657534246575,1.0,0.0,6.618192175643663
24,"Antwerpen, Belgium",within a day,87.0,81.0,f,host neighbourhood not available,9,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,2,1125,t,2,17,0,0,4.56,4.5,4.79,4.6,4.27,4.8,4.47,f,80.0,80.0,0.0,2.0,2.0,0.15,2,21,296,64.87671232876713,81.0958904109589,1 bath,40.0,1.0,0.0,0.0
25,"Antwerpen, Belgium",within a day,87.0,81.0,f,host neighbourhood not available,9,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,1,1125,t,0,187,6,0,4.33,4.27,4.52,4.55,4.39,4.64,4.3,f,109.0,109.0,0.0,1.0,2.0,1.7,23,53,328,97.95068493150686,89.86301369863014,1 bath,54.5,2.0,0.0,0.0
26,"Antwerp, Belgium",within an hour,100.0,40.0,f,host neighbourhood not available,2,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Private room in home,Private room,1.0,7,365,t,0,7,2,0,4.33,4.5,3.83,4.67,4.5,4.5,4.33,f,15.112328767123287,15.112328767123287,0.3162039635429764,2.0,3.0,0.18,0,0,237,9.73972602739726,64.93150684931507,3 shared baths,5.037442922374429,1.5,0.0,2.092357626780029
27,"Antwerp, Belgium",within a few hours,100.0,54.0,f,host neighbourhood not available,3,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Entire loft,Entire home/apt,2.0,3,1125,t,28,33,12,1,4.67,4.7,4.55,4.73,4.82,4.91,4.63,f,295.0,295.0,0.0,2.0,4.0,0.3,58,88,174,140.63013698630138,47.671232876712324,3 baths,73.75,2.0,0.0,0.0
28,"Edegem, Belgium",within a day,100.0,66.0,f,host neighbourhood not available,5,"['email', 'phone']",t,neighbourhood not available,Private room in boat,Private room,10.0,1,1125,t,20,39,24,4,4.77,4.74,4.26,4.79,4.82,5.0,4.69,f,65.89041095890411,65.89041095890411,10.03231268988222,20.0,16.0,1.24,41,71,340,60.63013698630137,93.15068493150685,2 shared baths,4.118150684931507,0.8,0.0,15.225755225808774
29,"Edegem, Belgium",within a day,100.0,66.0,f,host neighbourhood not available,5,"['email', 'phone']",t,neighbourhood not available,Private room in boat,Private room,11.0,1,1125,t,16,178,27,1,4.5,4.51,4.23,4.7,4.68,4.85,4.36,f,65.91780821917808,65.91780821917808,9.83623239408117,16.0,16.0,1.6,40,69,340,60.71232876712329,93.15068493150685,2 shared baths,4.11986301369863,1.0,0.0,14.921965186365865
30,"Antwerp, Belgium",within a day,100.0,18.0,f,host neighbourhood not available,2,"['email', 'phone', 'work_email']",t,"Antwerp, Flanders, Belgium",Entire rental unit,Entire home/apt,2.0,5,1125,t,0,35,1,0,4.83,4.91,4.82,4.97,4.94,4.62,4.97,f,65.0,65.0,0.0,2.0,4.0,0.32,21,51,315,56.0958904109589,86.3013698630137,1 bath,16.25,2.0,0.0,0.0
31,"Antwerp, Belgium",within an hour,100.0,84.0,t,host neighbourhood not available,1,"['email', 'phone', 'work_email']",t,"Antwerp, Flanders, Belgium",Entire loft,Entire home/apt,1.0,2,60,t,2,237,25,0,4.96,4.94,4.98,4.98,4.96,4.92,4.92,f,111.8,111.8,2.70652447342985,1.0,2.0,2.22,7,7,225,68.72602739726027,61.64383561643836,1 bath,55.9,2.0,0.0,2.420862677486449
32,"Antwerp, Belgium",within an hour,100.0,60.0,f,host neighbourhood not available,2,"['email', 'phone']",t,"Antwerp, Flanders, Belgium",Entire loft,Entire home/apt,1.0,2,30,t,0,67,0,0,4.84,4.62,4.72,4.85,4.69,4.4,4.64,f,270.0,270.0,0.0,3.0,6.0,0.63,0,0,0,0.0,0.0,3 baths,45.0,2.0,0.0,0.0
